personid,RelativeID,KindredID,MaID,PaID,sex,deceased,suicide,bdate,ddate,gen,Age
7952,7952,27251,0,0,M,Y,N,1873.0,1939.0,4,66.0
7953,7953,27251,37013,37012,F,Y,N,1872.0,1916.0,4,44.0
14670,14670,27251,0,0,F,Y,N,1802.0,1891.0,1,89.0
14671,14671,27251,0,0,M,Y,N,1804.0,1870.0,1,66.0
15972,15972,27251,0,0,F,Y,N,1865.0,1939.0,3,74.0
15973,15973,27251,35565,35566,M,Y,N,1855.0,1944.0,3,89.0
26165,26165,27251,0,0,M,Y,N,1883.0,1940.0,4,57.0
26166,26166,27251,15972,15973,F,Y,N,1888.0,1957.0,4,69.0
32456,32456,27251,0,0,F,Y,N,1877.0,1963.0,3,86.0
32457,32457,27251,35565,35566,M,Y,N,1870.0,1928.0,3,58.0
34743,34743,27251,0,0,M,Y,N,1879.0,1954.0,3,75.0
35567,35567,27251,0,0,M,Y,N,1860.0,1946.0,3,86.0
35564,35564,27251,35565,35566,F,Y,N,1867.0,1922.0,3,55.0
35565,35565,27251,14670,14671,F,Y,N,1836.0,1925.0,2,89.0
35566,35566,27251,0,0,M,Y,N,1831.0,1901.0,2,70.0
35574,35574,27251,35564,35567,F,Y,N,1901.0,1951.0,4,50.0
35575,35575,27251,0,0,M,Y,N,1893.0,1961.0,4,68.0
35583,35583,27251,35564,35567,F,Y,N,1913.0,1960.0,4,47.0
35584,35584,27251,0,0,M,Y,N,1904.0,1993.0,4,89.0
37012,37012,27251,0,0,M,Y,N,1845.0,1918.0,3,73.0
37013,37013,27251,37014,37015,F,Y,N,1851.0,1924.0,3,73.0
37014,37014,27251,14670,14671,F,Y,N,1838.0,1908.0,2,70.0
37015,37015,27251,0,0,M,Y,N,1827.0,1910.0,2,83.0
37016,37016,27251,37013,37012,M,Y,N,1875.0,1940.0,4,65.0
37017,37017,27251,0,0,F,Y,N,1868.0,1957.0,4,89.0
47481,47481,27251,0,0,M,Y,N,1877.0,1966.0,4,89.0
47703,47703,27251,0,0,M,Y,N,1870.0,1959.0,3,89.0
47704,47704,27251,35565,35566,F,Y,N,1875.0,1951.0,3,76.0
48961,48961,27251,0,0,F,Y,N,1894.0,1978.0,4,84.0
48962,48962,27251,40621,40622,M,Y,N,1886.0,1968.0,4,82.0
56797,56797,27251,0,0,M,Y,N,1850.0,1915.0,3,65.0
56798,56798,27251,56799,56800,F,Y,N,1850.0,1933.0,3,83.0
56799,56799,27251,14670,14671,F,Y,N,1836.0,1880.0,2,44.0
56800,56800,27251,0,0,M,Y,N,1819.0,1904.0,2,85.0
56810,56810,27251,56798,56797,F,Y,N,1885.0,1928.0,4,43.0
56811,56811,27251,0,0,M,Y,N,1877.0,1966.0,4,89.0
58989,58989,27251,0,0,M,Y,N,1869.0,1920.0,3,51.0
58990,58990,27251,37014,37015,F,Y,N,1869.0,1950.0,3,81.0
59064,59064,27251,15972,15973,F,Y,N,1882.0,1950.0,4,68.0
63213,63213,27251,0,0,M,Y,N,1905.0,1982.0,4,77.0
63218,63218,27251,47863,34743,F,Y,N,1905.0,1982.0,4,77.0
1697,1697,27251,0,0,M,Y,N,1921.0,2010.0,5,89.0
1698,1698,27251,35574,35575,F,Y,N,1919.0,2008.0,5,89.0
16829,16829,27251,5857,5858,F,Y,N,1920.0,2009.0,6,89.0
38646,38646,27251,58990,58989,F,Y,N,1894.0,1960.0,4,66.0
38647,38647,27251,0,0,M,Y,N,1894.0,1965.0,4,71.0
38689,38689,27251,35565,35566,M,Y,N,1868.0,1939.0,3,71.0
38690,38690,27251,0,0,F,Y,N,1873.0,1954.0,3,81.0
38697,38697,27251,38690,38689,M,Y,N,1905.0,1979.0,4,74.0
38698,38698,27251,0,0,F,Y,N,1905.0,1959.0,4,54.0
41068,41068,27251,37014,37015,F,Y,N,1865.0,1896.0,3,31.0
41069,41069,27251,0,0,M,Y,N,1863.0,1949.0,3,86.0
42192,42192,27251,5857,5858,M,Y,N,1915.0,2004.0,6,89.0
43885,43885,27251,0,0,F,Y,N,1912.0,1986.0,5,74.0
55595,55595,27251,0,0,F,Y,N,1848.0,1877.0,2,29.0
55596,55596,27251,14670,14671,M,Y,N,1839.0,1879.0,2,40.0
55597,55597,27251,55595,55596,M,Y,N,1869.0,1944.0,3,75.0
55598,55598,27251,0,0,F,Y,N,1872.0,1935.0,3,63.0
55601,55601,27251,55598,55597,M,Y,N,1898.0,1977.0,4,79.0
55602,55602,27251,0,0,F,Y,N,1903.0,1989.0,4,86.0
64462,64462,27251,0,0,F,Y,N,1905.0,1973.0,5,68.0
64463,64463,27251,7953,7952,M,Y,N,1899.0,1979.0,5,80.0
20201,20201,27251,14670,14671,F,Y,N,1842.0,1896.0,2,54.0
20202,20202,27251,0,0,M,Y,N,1848.0,1926.0,2,78.0
20538,20538,27251,0,0,F,Y,N,1908.0,1997.0,5,89.0
20539,20539,27251,37017,37016,M,Y,N,1905.0,1971.0,5,66.0
