"""uuid""","""number""","""c.season""","""id""","""title"""
"""70a3dcea-c4a6-4648-a1a9-1655e3c9ac97""",1,1,1,"""Winter Is Coming"""
"""5760cb67-2cdc-43e8-a8ce-871de8bccb04""",2,1,2,"""The Kingsroad"""
"""2b1fdabe-2648-470d-929b-bdc1171edcb4""",3,1,3,"""Lord Snow"""
"""707b53fe-bfd2-402a-b891-5ba8f79d4afd""",4,1,4,"""Cripples, Bastards, and Broken Things"""
"""b6873343-1f89-453a-9053-cd9b7f69f122""",5,1,5,"""The Wolf and the Lion"""
"""c0f70a55-da8f-4125-a270-caec1b724834""",6,1,6,"""A Golden Crown"""
"""2744b898-a475-448c-8691-7e9af23fa482""",7,1,7,"""You Win or You Die"""
"""6d8429c6-99f8-4ca4-b7a8-c536877eecdc""",8,1,8,"""The Pointy End"""
"""1ab37d54-ba68-4271-8201-9d805e77885b""",9,1,9,"""Baelor"""
"""7470a371-699a-4835-b3d4-d451ee0ed32e""",10,1,10,"""Fire and Blood"""
"""18de91e0-7534-437a-9d58-3c2a59f65b3b""",1,2,11,"""The North Remembers"""
"""7b913ebf-9d00-48a1-939d-c24db3f98900""",2,2,12,"""The Night Lands"""
"""da323bb6-8d1d-4171-ac44-68caaf8d32d6""",3,2,13,"""What Is Dead May Never Die"""
"""b8bd8430-4f49-4d63-a450-12ca1e90fc51""",4,2,14,"""Garden of Bones"""
"""1d62c929-0483-437a-b21e-d66240d0c6d8""",5,2,15,"""The Ghost of Harrenhal"""
"""93f672fc-f276-4248-9f14-4cfad2295d0f""",6,2,16,"""The Old Gods and the New"""
"""d2fe7559-a0bd-4e8c-9502-f322bac5c1fc""",7,2,17,"""A Man Without Honor"""
"""444105ff-3d14-4e65-9f88-45400c1662cd""",8,2,18,"""The Prince of Winterfell"""
"""ea37ae4b-aeaf-4e79-b9ff-4df972d7c1d7""",9,2,19,"""Blackwater"""
"""49754481-7f10-45d9-867f-256dced22f12""",10,2,20,"""Valar Morghulis"""
"""31aa6b27-41f2-4fca-b608-ca2956410d1d""",1,3,21,"""Valar Dohaeris"""
"""3e66b6e5-068b-4530-a89c-df50ba45d688""",2,3,22,"""Dark Wings, Dark Words"""
"""2a65237b-74eb-447b-b821-0ea3d113bcbc""",3,3,23,"""Walk of Punishment"""
